iter	Passed	Remaining
0	134	13316
1	137	6717
2	139	4499
3	141	3385
4	142	2713
5	144	2265
6	146	1943
7	147	1701
8	149	1514
9	151	1364
10	153	1241
11	155	1138
12	156	1049
13	158	971
14	160	907
15	161	849
16	162	794
17	163	746
18	165	705
19	167	668
20	168	633
21	169	602
22	170	571
23	172	544
24	173	520
25	174	497
26	176	476
27	178	457
28	179	440
29	181	422
30	183	407
31	184	392
32	186	378
33	187	364
34	189	351
35	190	338
36	192	327
37	194	316
38	195	306
39	197	295
40	199	286
41	200	277
42	202	268
43	204	259
44	205	251
45	207	243
46	208	235
47	210	227
48	211	220
49	212	212
50	214	205
51	215	199
52	217	192
53	219	186
54	220	180
55	222	174
56	223	168
57	225	163
58	226	157
59	228	152
60	230	147
61	231	142
62	233	136
63	234	132
64	236	127
65	238	122
66	239	118
67	241	113
68	243	109
69	244	104
70	245	100
71	247	96
72	249	92
73	250	88
74	252	84
75	253	80
76	255	76
77	257	72
78	258	68
79	259	64
80	260	61
81	262	57
82	264	54
83	265	50
84	267	47
85	269	43
86	270	40
87	271	37
88	273	33
89	275	30
90	276	27
91	277	24
92	278	20
93	280	17
94	281	14
95	283	11
96	284	8
97	285	5
98	287	2
99	289	0
